,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
1,Alexander Ovechkin,1985,F,1197,730,590,1320,731,75,20:52,15:58,4:44,0:09,457,269,4,116,24,359,230,1,83,13,816,499,5,199,37,37.8%,1.752,1.416,3.169,1.434,1.126,2.56,2.843,2.431,5.275,0.61,0.493,1.103,5727,12.8%,3128,475,56,108,34.15%
2,Patrick Marleau,1979,F,1779,566,631,1197,527,-27,17:48,13:49,3:07,0:50,377,172,17,109,11,384,243,4,108,10,761,415,21,217,21,34.7%,1.072,1.195,2.268,0.92,0.937,1.857,1.854,2.619,4.473,0.318,0.355,0.673,4333,13.1%,1157,406,6836,7584,47.41%
3,Sidney Crosby,1987,F,1039,486,839,1325,699,183,20:49,15:58,4:22,0:28,337,145,4,69,18,497,335,7,144,18,834,480,11,213,36,36.2%,1.348,2.326,3.674,1.218,1.797,3.015,1.914,4.423,6.337,0.468,0.808,1.275,3331,14.6%,892,502,11820,10867,52.10%
4,Eric Staal,1984,F,1293,441,593,1034,828,-77,19:23,15:02,3:31,0:49,289,133,19,71,5,401,184,8,94,12,690,317,27,165,17,30.7%,1.055,1.419,2.474,0.891,1.237,2.128,1.75,2.421,4.172,0.341,0.459,0.8,3935,11.2%,897,484,9720,10431,48.24%
5,Steven Stamkos,1990,F,841,439,427,866,515,48,19:19,15:03,3:42,0:33,269,165,5,62,8,277,147,3,70,13,546,312,8,132,21,36.0%,1.621,1.576,3.197,1.275,1.313,2.587,3.174,2.827,6.001,0.522,0.508,1.03,2589,17.0%,910,358,5002,5062,49.70%
6,Joe Thornton,1979,F,1679,425,1104,1529,1262,192,18:53,14:43,3:32,0:37,276,143,6,67,9,696,402,6,183,22,972,545,12,250,31,35.6%,0.804,2.089,2.893,0.67,1.69,2.36,1.445,4.062,5.507,0.253,0.658,0.911,3039,14.0%,766,396,13329,12032,52.56%
7,Evgeni Malkin,1986,F,940,424,680,1104,984,69,19:54,15:14,4:24,0:16,267,153,4,73,12,414,265,1,118,19,681,418,5,191,31,37.9%,1.359,2.18,3.539,1.118,1.734,2.852,2.219,3.844,6.064,0.451,0.723,1.174,3117,13.6%,576,382,4735,5968,44.24%
8,Patrick Kane,1988,F,1029,404,684,1088,392,62,20:12,16:36,3:31,0:03,293,111,0,65,9,445,238,1,113,21,738,349,1,178,30,32.1%,1.166,1.974,3.14,1.028,1.562,2.59,1.835,3.934,5.769,0.393,0.665,1.057,3397,11.9%,278,217,318,505,38.64%
9,Jeff Carter,1985,F,1094,399,363,762,555,40,18:00,13:49,2:42,1:29,267,114,18,84,14,253,105,5,66,10,520,219,23,150,24,28.7%,1.215,1.105,2.32,1.06,1.004,2.064,2.311,2.129,4.44,0.365,0.332,0.697,3538,11.3%,904,526,7575,7472,50.34%
10,Joe Pavelski,1984,F,1086,394,449,843,416,136,18:46,14:28,3:06,1:10,244,140,10,67,4,272,170,7,85,15,516,310,17,152,19,36.8%,1.16,1.322,2.481,0.931,1.038,1.969,2.486,3.019,5.506,0.363,0.413,0.776,3112,12.7%,1108,936,7075,5849,54.74%
11,Zach Parise,1984,F,1060,393,417,810,384,78,18:16,14:31,3:02,0:41,266,120,7,76,8,283,125,9,93,10,549,245,16,169,18,30.2%,1.217,1.292,2.509,1.036,1.102,2.139,2.23,2.323,4.552,0.371,0.393,0.764,3406,11.5%,827,603,360,468,43.48%
12,Phil Kessel,1987,F,1122,391,513,904,332,-124,18:07,14:51,3:13,0:03,275,115,1,70,11,318,195,0,84,14,593,310,1,154,25,34.3%,1.153,1.513,2.666,0.99,1.145,2.135,1.909,3.236,5.145,0.348,0.457,0.806,3525,11.1%,186,266,453,630,41.83%
13,Corey Perry,1985,F,1094,386,432,818,1219,70,17:41,14:16,3:02,0:22,275,105,6,65,6,276,152,4,74,3,551,257,10,139,9,31.4%,1.196,1.339,2.536,1.057,1.061,2.117,1.893,2.74,4.633,0.353,0.395,0.748,3009,12.8%,1088,405,91,216,29.64%
14,Patrice Bergeron,1985,F,1143,375,542,917,440,228,18:48,13:43,3:05,1:58,241,114,20,70,9,349,170,23,92,13,590,284,43,162,22,31.0%,1.047,1.513,2.56,0.921,1.334,2.256,1.935,2.885,4.82,0.328,0.474,0.802,3432,10.9%,828,748,13148,9754,57.41%
15,John Tavares,1990,F,869,364,455,819,379,-17,19:47,16:09,3:18,0:18,255,106,3,56,15,293,159,3,57,13,548,265,6,113,28,32.4%,1.27,1.588,2.858,1.089,1.251,2.341,2.207,3.311,5.518,0.419,0.524,0.942,2749,13.2%,459,347,8199,7542,52.09%
16,Jason Spezza,1983,F,1176,351,619,970,578,8,16:48,13:10,3:17,0:20,234,114,3,54,3,375,242,2,93,5,609,356,5,147,8,36.7%,1.066,1.879,2.945,0.906,1.452,2.357,1.768,3.752,5.52,0.298,0.526,0.825,2768,12.7%,264,314,9327,8196,53.23%
17,Anze Kopitar,1987,F,1129,346,654,1000,304,69,21:02,15:50,3:20,1:51,235,98,13,57,9,385,260,9,108,20,620,358,22,165,29,35.8%,0.874,1.652,2.525,0.788,1.291,2.08,1.559,4.137,5.696,0.306,0.579,0.886,2718,12.7%,1055,740,10998,9934,52.54%
18,Brad Marchand,1988,F,804,319,396,715,802,247,17:44,14:07,2:01,1:35,232,56,31,61,16,280,96,20,57,3,512,152,51,118,19,21.3%,1.341,1.665,3.006,1.226,1.48,2.706,2.07,3.548,5.618,0.397,0.493,0.889,1985,16.1%,684,270,203,319,38.89%
19,Dustin Brown,1984,F,1232,316,368,684,718,-33,17:59,14:01,2:39,1:18,205,105,6,42,9,269,92,7,56,5,474,197,13,98,14,28.8%,0.855,0.996,1.852,0.712,0.934,1.646,1.924,1.686,3.61,0.256,0.299,0.555,3214,9.8%,3544,356,218,284,43.43%
20,Jamie Benn,1989,F,866,311,412,723,646,60,18:26,14:41,2:50,0:55,214,85,12,49,9,294,107,11,75,12,508,192,23,124,21,26.6%,1.168,1.547,2.715,1.009,1.387,2.396,2.074,2.611,4.684,0.359,0.476,0.835,2369,13.1%,1523,593,3112,3082,50.24%
21,Max Pacioretty,1988,F,811,304,301,605,433,61,17:37,14:22,2:36,0:38,224,73,7,61,16,220,78,3,49,8,444,151,10,110,24,25.0%,1.276,1.264,2.54,1.153,1.133,2.286,2.072,2.214,4.286,0.375,0.371,0.746,2719,11.2%,1042,366,145,171,45.89%
22,James Neal,1987,F,849,294,261,555,579,8,17:22,14:20,2:51,0:10,207,86,1,46,8,178,82,1,44,7,385,168,2,90,15,30.3%,1.196,1.062,2.258,1.02,0.877,1.897,2.129,2.03,4.158,0.346,0.307,0.654,2482,11.9%,1220,290,84,170,33.07%
23,Tyler Seguin,1992,F,744,281,356,637,223,82,18:27,15:11,2:54,0:21,202,78,1,52,8,235,120,1,62,10,437,198,2,114,18,31.1%,1.228,1.556,2.784,1.072,1.248,2.32,2.165,3.33,5.495,0.378,0.478,0.856,2609,10.8%,568,270,3669,3261,52.94%
24,Blake Wheeler,1986,F,980,279,526,805,657,81,18:29,14:49,2:38,1:01,217,48,14,40,4,345,171,10,74,12,562,219,24,114,16,27.2%,0.924,1.742,2.666,0.896,1.425,2.322,1.113,3.963,5.076,0.285,0.537,0.821,2579,10.8%,1205,618,701,856,45.02%
25,Ryan Getzlaf,1985,F,1101,279,703,982,931,116,19:31,15:08,3:16,1:05,187,84,8,56,11,451,246,6,135,24,638,330,14,191,35,33.6%,0.779,1.963,2.742,0.673,1.623,2.295,1.394,4.084,5.478,0.253,0.639,0.892,2455,11.4%,1891,950,8126,8440,49.05%
26,Logan Couture,1989,F,768,273,304,577,214,41,18:09,14:01,2:51,1:15,189,73,11,48,5,196,101,7,57,13,385,174,18,105,18,30.2%,1.175,1.309,2.484,1.052,1.091,2.144,1.991,2.755,4.746,0.355,0.396,0.751,2146,12.7%,545,654,3863,4113,48.43%
27,Claude Giroux,1988,F,943,273,585,858,392,39,19:37,15:07,3:19,1:11,185,81,7,46,11,330,246,9,80,11,515,327,16,126,22,38.1%,0.885,1.896,2.781,0.778,1.388,2.167,1.554,4.719,6.273,0.29,0.62,0.91,2443,11.2%,847,386,8974,7209,55.45%
28,Jeff Skinner,1992,F,773,265,214,479,336,-129,17:01,14:27,2:31,0:02,211,54,0,36,5,150,64,0,32,4,361,118,0,68,9,24.6%,1.208,0.975,2.183,1.132,0.805,1.937,1.661,1.968,3.629,0.343,0.277,0.62,2471,10.7%,373,190,463,575,44.61%
29,Evander Kane,1991,F,769,264,242,506,988,-67,18:51,15:36,2:09,1:06,203,47,14,37,4,193,44,5,33,8,396,91,19,70,12,18.0%,1.092,1.001,2.094,1.015,0.965,1.981,1.703,1.595,3.298,0.343,0.315,0.658,2730,9.7%,1707,317,601,725,45.32%
30,James van Riemsdyk,1989,F,797,264,260,524,321,-37,16:30,13:40,2:30,0:18,185,76,3,38,1,196,62,2,32,2,381,138,5,70,3,26.3%,1.204,1.186,2.391,1.019,1.079,2.098,2.277,1.858,4.135,0.331,0.326,0.657,2199,12.0%,690,246,118,162,42.14%
31,Paul Stastny,1985,F,1000,263,492,755,470,36,18:58,14:47,2:53,1:17,189,72,2,50,5,326,160,6,71,14,515,232,8,121,19,30.7%,0.831,1.555,2.386,0.767,1.322,2.089,1.49,3.312,4.803,0.263,0.492,0.755,2104,12.5%,579,533,9491,8205,53.63%
32,Bobby Ryan,1987,F,866,261,308,569,470,-12,16:54,14:04,2:34,0:14,195,63,3,26,3,229,79,0,41,6,424,142,3,67,9,25.0%,1.07,1.262,2.332,0.96,1.127,2.087,1.693,2.123,3.815,0.301,0.356,0.657,2137,12.2%,1249,373,229,360,38.88%
33,T.J. Oshie,1986,F,856,260,350,610,420,123,18:32,14:20,2:51,1:20,172,79,9,41,4,239,103,8,61,7,411,182,17,102,11,29.8%,0.983,1.324,2.307,0.84,1.168,2.008,1.94,2.53,4.47,0.304,0.409,0.713,1766,14.7%,1271,594,939,1081,46.49%
34,Wayne Simmonds,1988,F,946,258,250,508,1168,-85,15:50,13:00,2:27,0:22,153,102,3,42,2,182,67,1,35,2,335,169,4,77,4,33.3%,1.033,1.001,2.034,0.746,0.888,1.634,2.624,1.723,4.347,0.273,0.264,0.537,2040,12.7%,1723,448,97,132,42.36%
35,Nicklas BŠckstršm,1987,F,1011,258,722,980,476,119,19:36,15:15,3:29,0:51,177,79,2,38,8,405,317,0,118,16,582,396,2,156,24,40.4%,0.781,2.185,2.965,0.688,1.574,2.263,1.345,5.396,6.741,0.255,0.714,0.969,2125,12.1%,729,608,8308,8222,50.26%
36,Patric Hšrnqvist,1987,F,814,252,260,512,434,83,16:07,13:08,2:57,0:01,160,92,0,43,1,191,69,0,40,0,351,161,0,83,1,31.4%,1.152,1.188,2.34,0.898,1.071,1.969,2.287,1.715,4.002,0.31,0.319,0.629,2616,9.6%,1291,457,74,108,40.66%
37,Matt Duchene,1991,F,827,251,351,602,196,-102,18:13,15:11,2:39,0:22,190,59,2,33,6,266,84,1,59,15,456,143,3,92,21,23.8%,0.999,1.398,2.397,0.907,1.27,2.177,1.612,2.295,3.907,0.304,0.424,0.728,2001,12.5%,536,481,6020,5281,53.27%
38,Loui Eriksson,1985,F,977,250,344,594,194,34,17:32,13:50,2:16,1:25,180,60,10,34,9,261,74,9,53,7,441,134,19,87,16,22.6%,0.875,1.204,2.079,0.798,1.158,1.956,1.615,1.991,3.606,0.256,0.352,0.608,1932,12.9%,259,395,56,99,36.13%
39,David Backes,1984,F,965,248,313,561,1148,64,17:19,13:43,2:16,1:20,179,65,4,32,2,240,67,6,49,4,419,132,10,81,6,23.5%,0.89,1.123,2.013,0.811,1.087,1.899,1.779,1.833,3.612,0.257,0.324,0.581,2178,11.4%,2710,617,4726,4740,49.93%
40,David Perron,1988,F,906,242,366,608,670,13,16:54,14:00,2:35,0:18,178,60,4,36,9,247,116,3,56,5,425,176,7,92,14,28.9%,0.948,1.433,2.381,0.841,1.167,2.008,1.532,2.962,4.494,0.267,0.404,0.671,1890,12.8%,1105,231,188,297,38.76%
41,Jordan Eberle,1990,F,779,241,310,551,186,-39,17:40,14:52,2:36,0:10,182,56,3,37,3,222,88,0,45,5,404,144,3,82,8,26.1%,1.051,1.351,2.402,0.943,1.15,2.092,1.649,2.591,4.24,0.309,0.398,0.707,1842,13.1%,424,315,82,114,41.84%
42,Jordan Staal,1988,F,1014,241,334,575,505,43,18:40,14:19,2:00,2:20,179,45,17,34,6,250,66,18,53,11,429,111,35,87,17,19.3%,0.763,1.058,1.821,0.739,1.033,1.772,1.322,1.938,3.26,0.238,0.329,0.567,2110,11.4%,1842,473,8732,7907,52.48%
43,Taylor Hall,1991,F,680,228,368,596,376,-48,18:59,15:53,2:57,0:08,161,66,1,38,11,262,105,1,58,7,423,171,2,96,18,28.7%,1.059,1.71,2.769,0.893,1.454,2.348,1.972,3.137,5.108,0.335,0.541,0.876,2238,10.2%,553,367,323,402,44.55%
44,Shea Weber,1985,D,1038,224,365,589,714,79,24:02,18:40,3:10,2:11,113,106,5,35,7,226,133,6,66,11,339,239,11,101,18,40.6%,0.538,0.877,1.416,0.35,0.699,1.049,1.925,2.416,4.341,0.216,0.352,0.567,2765,8.1%,2212,1691,0,0,0.00%
45,Ryan O'Reilly,1991,F,860,219,395,614,124,6,19:43,15:21,2:27,1:54,146,63,10,32,12,269,117,9,69,12,415,180,19,101,24,29.3%,0.774,1.397,2.171,0.663,1.222,1.885,1.792,3.328,5.119,0.255,0.459,0.714,1938,11.3%,370,479,8931,7102,55.70%
46,Vladimir Tarasenko,1991,F,531,218,224,442,145,68,17:36,14:42,2:41,0:12,160,58,0,35,10,159,65,0,30,1,319,123,0,65,11,27.8%,1.399,1.438,2.837,1.229,1.222,2.451,2.436,2.73,5.166,0.411,0.422,0.832,1725,12.6%,388,192,13,18,41.94%
47,Gabriel Landeskog,1992,F,687,218,294,512,523,50,19:21,15:31,2:58,0:50,152,61,5,38,6,215,74,5,45,5,367,135,10,83,11,26.4%,0.984,1.326,2.31,0.855,1.209,2.064,1.788,2.168,3.956,0.317,0.428,0.745,1879,11.6%,1370,500,1273,1132,52.93%
